Date,Steps
2019-10-21 14:30:00,0
2019-10-21 14:31:00,0
2019-10-21 14:32:00,0
2019-10-21 14:33:00,0
2019-10-21 14:34:00,0
2019-10-21 14:35:00,0
2019-10-21 14:36:00,0
2019-10-21 14:37:00,0
2019-10-21 14:38:00,0
2019-10-21 14:39:00,0
2019-10-21 14:40:00,0
2019-10-21 14:41:00,0
2019-10-21 14:42:00,0
2019-10-21 14:43:00,0
2019-10-21 14:44:00,0
2019-10-21 14:45:00,0
2019-10-21 14:46:00,0
2019-10-21 14:47:00,0
2019-10-21 14:48:00,0
2019-10-21 14:49:00,11
2019-10-21 14:50:00,46
2019-10-21 14:51:00,0
2019-10-21 14:52:00,30
2019-10-21 14:53:00,110
2019-10-21 14:54:00,108
2019-10-21 14:55:00,89
2019-10-21 14:56:00,60
2019-10-21 14:57:00,95
2019-10-21 14:58:00,28
2019-10-21 14:59:00,0
2019-10-21 15:00:00,0
2019-10-21 15:01:00,0
2019-10-21 15:02:00,0
2019-10-21 15:03:00,0
2019-10-21 15:04:00,0
2019-10-21 15:05:00,0
2019-10-21 15:06:00,0
2019-10-21 15:07:00,0
2019-10-21 15:08:00,0
2019-10-21 15:09:00,0
2019-10-21 15:10:00,0
2019-10-21 15:11:00,0
2019-10-21 15:12:00,0
2019-10-21 15:13:00,0
2019-10-21 15:14:00,0
2019-10-21 15:15:00,0
2019-10-21 15:16:00,0
2019-10-21 15:17:00,0
2019-10-21 15:18:00,0
2019-10-21 15:19:00,0
2019-10-21 15:20:00,0
2019-10-21 15:21:00,0
2019-10-21 15:22:00,0
2019-10-21 15:23:00,0
2019-10-21 15:24:00,0
2019-10-21 15:25:00,0
2019-10-21 15:26:00,0
2019-10-21 15:27:00,0
2019-10-21 15:28:00,0
2019-10-21 15:29:00,0
2019-10-21 15:30:00,0
2019-10-21 15:31:00,0
2019-10-21 15:32:00,0
2019-10-21 15:33:00,0
2019-10-21 15:34:00,0
2019-10-21 15:35:00,0
2019-10-21 15:36:00,0
2019-10-21 15:37:00,0
2019-10-21 15:38:00,0
2019-10-21 15:39:00,0
2019-10-21 15:40:00,0
2019-10-21 15:41:00,0
2019-10-21 15:42:00,0
2019-10-21 15:43:00,0
2019-10-21 15:44:00,0
2019-10-21 15:45:00,0
2019-10-21 15:46:00,0
2019-10-21 15:47:00,0
2019-10-21 15:48:00,0
2019-10-21 15:49:00,0
2019-10-21 15:50:00,0
2019-10-21 15:51:00,0
2019-10-21 15:52:00,0
2019-10-21 15:53:00,0
2019-10-21 15:54:00,0
2019-10-21 15:55:00,0
2019-10-21 15:56:00,0
2019-10-21 15:57:00,0
2019-10-21 15:58:00,0
2019-10-21 15:59:00,0
2019-10-21 16:00:00,0
